il_adi,ilce_adi,il_ilce,y2020,y2021,y2022,y2023,y2024,il_kod,ilce_kod
Adana,Aladað,Adana Aladað,76403,70023,73950,75416,79101,1,1757
Adana,Ceyhan,Adana Ceyhan,877686,895913,968779,973743,972741,1,1219
Adana,Feke,Adana Feke,66859,61214,62871,58718,53232,1,1329
Adana,Karaisalý,Adana Karaisalý,221348,237060,244392,255020,234393,1,1437
Adana,Karataþ,Adana Karataþ,456109,455201,470683,467666,468214,1,1443
Adana,Kozan,Adana Kozan,571347,584581,598542,598498,597859,1,1486
Adana,Pozantý,Adana Pozantý,38041,34905,34722,34707,34660,1,1580
Adana,Saimbeyli,Adana Saimbeyli,118001,119301,119206,120677,118601,1,1588
Adana,Sarýçam,Adana Sarýçam,426879,424898,426978,425352,422915,1,2032
Adana,Seyhan,Adana Seyhan,275494,268720,285589,274919,273910,1,1104
Adana,Tufanbeyli,Adana Tufanbeyli,299560,301650,302823,310442,311293,1,1687
Adana,Yumurtalýk,Adana Yumurtalýk,282186,278344,281243,280695,278432,1,1734
Adana,Yüreðir,Adana Yüreðir,703361,706094,736536,730660,735550,1,1748
Adana,Çukurova,Adana Çukurova,86258,91465,92078,82638,90956,1,2033
Adana,Ýmamoðlu,Adana Ýmamoðlu,322828,342485,347832,346482,347479,1,1806
Adýyaman,Besni,Adýyaman Besni,618405,620478,617227,611711,611269,2,1182
Adýyaman,Gerger,Adýyaman Gerger,59423,60548,60522,60176,59060,2,1347
Adýyaman,Gölbaþý,Adýyaman Gölbaþý,172137,172140,172434,173313,176538,2,1354
Adýyaman,Kahta,Adýyaman Kahta,581943,548775,510551,489085,545162,2,1425
Adýyaman,Merkez,Adýyaman Merkez,693270,687380,712449,751282,671228,2,1105
Adýyaman,Samsat,Adýyaman Samsat,108622,107912,116814,119147,106919,2,1592
Adýyaman,Sincik,Adýyaman Sincik,40555,41512,46994,39119,44319,2,1985
Adýyaman,Tut,Adýyaman Tut,71162,71758,73454,73521,73407,2,1989
Adýyaman,Çelikhan,Adýyaman Çelikhan,28872,25509,27100,23385,13385,2,1246
Afyonkarahisar,Bayat,Afyonkarahisar Bayat,73837,80480,114619,117547,105233,3,1773
Afyonkarahisar,Baþmakçý,Afyonkarahisar Baþmakçý,71609,77347,92201,91936,88704,3,1771
Afyonkarahisar,Bolvadin,Afyonkarahisar Bolvadin,193946,197328,224011,223740,220563,3,1200
Afyonkarahisar,Dazkýrý,Afyonkarahisar Dazkýrý,103522,109856,117517,127225,125797,3,1267
Afyonkarahisar,Dinar,Afyonkarahisar Dinar,463540,477778,470430,489044,491119,3,1281
Afyonkarahisar,Emirdað,Afyonkarahisar Emirdað,848981,917977,1071705,1075338,1084049,3,1306
Afyonkarahisar,Evciler,Afyonkarahisar Evciler,136779,149673,144292,153785,123494,3,1923
Afyonkarahisar,Hocalar,Afyonkarahisar Hocalar,73724,81055,98410,66095,69733,3,1944
Afyonkarahisar,Kýzýlören,Afyonkarahisar Kýzýlören,42423,44883,47403,49273,48199,3,1961
Afyonkarahisar,Merkez,Afyonkarahisar Merkez,559109,590517,645128,628646,644587,3,1108
Afyonkarahisar,Sandýklý,Afyonkarahisar Sandýklý,441275,465260,466375,481340,487045,3,1594
Afyonkarahisar,Sinanpaþa,Afyonkarahisar Sinanpaþa,292179,304362,341024,346256,335313,3,1626
Afyonkarahisar,Sultandaðý,Afyonkarahisar Sultandaðý,216091,224719,264710,261856,264272,3,1639
Afyonkarahisar,Çay,Afyonkarahisar Çay,273049,286570,300270,308757,304398,3,1239
Afyonkarahisar,Çobanlar,Afyonkarahisar Çobanlar,101729,104991,121895,121117,117115,3,1906
Afyonkarahisar,Ýhsaniye,Afyonkarahisar Ýhsaniye,284657,295746,334714,339491,336717,3,1404
Afyonkarahisar,Ýscehisar,Afyonkarahisar Ýscehisar,93488,96415,119636,114715,111360,3,1809
Afyonkarahisar,Þuhut,Afyonkarahisar Þuhut,471069,514777,546179,563031,561081,3,1664
Aksaray,Aðaçören,Aksaray Aðaçören,186472,176829,212093,237501,209146,68,1860
Aksaray,Eskil,Aksaray Eskil,496928,588487,726177,812185,779054,68,1921
Aksaray,Gülaðaç,Aksaray Gülaðaç,155985,169225,176078,194558,186264,68,1932
Aksaray,Güzelyurt,Aksaray Güzelyurt,182688,174473,175021,166924,175064,68,1861
Aksaray,Merkez,Aksaray Merkez,1926397,1908894,1916735,1896935,1941056,68,1120
Aksaray,Ortaköy,Aksaray Ortaköy,607887,568252,605616,564396,563141,68,1557
Aksaray,Sarýyahþi,Aksaray Sarýyahþi,54729,55904,56385,62622,83346,68,1866
Aksaray,Sultanhaný,Aksaray Sultanhaný,187733,201067,235978,226850,257980,68,2106
Amasya,Göynücek,Amasya Göynücek,177229,203158,197232,205174,211719,5,1363
Amasya,Gümüþhacýköy,Amasya Gümüþhacýköy,206663,207909,211289,212459,215795,5,1368
Amasya,Hamamözü,Amasya Hamamözü,43468,44209,46175,47346,49816,5,1938
Amasya,Merkez,Amasya Merkez,774217,819869,830379,842593,854276,5,1134
Amasya,Merzifon,Amasya Merzifon,501154,509869,522923,513949,521655,5,1524
Amasya,Suluova,Amasya Suluova,261468,271480,272555,272099,273133,5,1641
Amasya,Taþova,Amasya Taþova,345785,358799,363081,356913,372702,5,1668
Ankara,Akyurt,Ankara Akyurt,187575,195457,197042,197009,197830,6,1872
Ankara,Altýndað,Ankara Altýndað,65447,64796,64794,64756,64660,6,1130
Ankara,Ayaþ,Ankara Ayaþ,500324,511376,511734,510544,505498,6,1157
Ankara,Bala,Ankara Bala,1435547,1550338,1466509,1461051,1208434,6,1167
Ankara,Beypazarý,Ankara Beypazarý,610616,616795,644133,640602,639928,6,1187
Ankara,Elmadað,Ankara Elmadað,266362,269190,269248,269486,269253,6,1302
Ankara,Etimesgut,Ankara Etimesgut,26998,29644,33123,38445,54703,6,1922
Ankara,Evren,Ankara Evren,140065,138977,139503,137518,138526,6,1924
Ankara,Gölbaþý,Ankara Gölbaþý,813313,823774,823684,823531,824019,6,1744
Ankara,Güdül,Ankara Güdül,276552,278646,281419,285637,288524,6,1365
Ankara,Haymana,Ankara Haymana,1577234,1494653,1496040,1489152,1335507,6,1387
Ankara,Kahramankazan,Ankara Kahramankazan,264109,264013,263875,263658,261886,6,1815
Ankara,Kalecik,Ankara Kalecik,492457,490108,500923,495299,490129,6,1427
Ankara,Keçiören,Ankara Keçiören,18669,18787,19919,22590,25555,6,1745
Ankara,Kýzýlcahamam,Ankara Kýzýlcahamam,103664,103480,103656,103701,103480,6,1473
Ankara,Mamak,Ankara Mamak,63950,66781,66781,66622,66781,6,1746
Ankara,Nallýhan,Ankara Nallýhan,386291,412759,413455,413255,413407,6,1539
Ankara,Polatlý,Ankara Polatlý,2210797,2201516,2206548,2219467,2214535,6,1578
Ankara,Pursaklar,Ankara Pursaklar,65398,67299,69962,70001,68836,6,2034
Ankara,Sincan,Ankara Sincan,495612,505992,512770,511237,506417,6,1747
Ankara,Yenimahalle,Ankara Yenimahalle,56288,55196,55058,54015,54436,6,1723
Ankara,Çamlýdere,Ankara Çamlýdere,21500,23266,23874,24526,24838,6,1227
Ankara,Çankaya,Ankara Çankaya,117606,103367,103206,103241,103471,6,1231
Ankara,Çubuk,Ankara Çubuk,400493,391328,391249,391129,391166,6,1260
Ankara,Þereflikoçhisar,Ankara Þereflikoçhisar,927158,962099,965762,964714,963713,6,1658
Antalya,Akseki,Antalya Akseki,40817,42259,14160,14421,15403,7,1121
Antalya,Aksu,Antalya Aksu,199675,184757,174827,172485,173323,7,2035
Antalya,Alanya,Antalya Alanya,232943,236039,232999,216799,193579,7,1126
Antalya,Demre,Antalya Demre,43847,44782,44272,41718,30902,7,1811
Antalya,Döþemealtý,Antalya Döþemealtý,106380,107239,105014,106711,106698,7,2036
Antalya,Elmalý,Antalya Elmalý,564531,570159,566911,326970,466070,7,1303
Antalya,Finike,Antalya Finike,67149,67860,68695,68687,68337,7,1333
Antalya,Gazipaþa,Antalya Gazipaþa,150498,148730,133797,113330,102696,7,1337
Antalya,Gündoðmuþ,Antalya Gündoðmuþ,111680,19800,13704,12546,12484,7,1370
Antalya,Kaþ,Antalya Kaþ,134498,134810,134882,121003,123503,7,1451
Antalya,Kemer,Antalya Kemer,17670,18149,18169,16415,15669,7,1959
Antalya,Kepez,Antalya Kepez,80883,80862,67445,62678,61645,7,2037
Antalya,Konyaaltý,Antalya Konyaaltý,34634,35265,35149,35147,35146,7,2038
Antalya,Korkuteli,Antalya Korkuteli,946965,1016036,1016372,1017502,1016218,7,1483
Antalya,Kumluca,Antalya Kumluca,181092,103878,103355,169915,92772,7,1492
Antalya,Manavgat,Antalya Manavgat,364465,370326,380110,382422,386092,7,1512
Antalya,Muratpaþa,Antalya Muratpaþa,4159,4201,7725,7670,7790,7,2039
Antalya,Serik,Antalya Serik,354975,360110,356333,359991,359045,7,1616
Antalya,Ýbradý,Antalya Ýbradý,12367,12702,4643,4991,4909,7,1946
Ardahan,Damal,Ardahan Damal,33134,51895,52670,52518,56158,75,2008
Ardahan,Göle,Ardahan Göle,132081,200844,215923,202734,207020,75,1356
Ardahan,Hanak,Ardahan Hanak,57260,95353,105356,100699,110420,75,1380
Ardahan,Merkez,Ardahan Merkez,123501,218825,224491,218264,321838,75,1144
Ardahan,Posof,Ardahan Posof,8349,35878,46217,34178,41398,75,1579
Ardahan,Çýldýr,Ardahan Çýldýr,73659,122269,125533,128672,135170,75,1252
Artvin,Ardanuç,Artvin Ardanuç,54088,55773,52950,45804,46227,8,1145
Artvin,Arhavi,Artvin Arhavi,41329,41382,41427,41398,40392,8,1147
Artvin,Borçka,Artvin Borçka,91027,84256,84295,84121,84152,8,1202
Artvin,Hopa,Artvin Hopa,28088,35154,34702,34456,33629,8,1395
Artvin,Kemalpaþa,Artvin Kemalpaþa,21115,21170,21174,21189,21112,8,2105
Artvin,Merkez,Artvin Merkez,16539,15877,14926,13140,15616,8,1152
Artvin,Murgul,Artvin Murgul,20718,24793,24793,12468,12469,8,1828
Artvin,Yusufeli,Artvin Yusufeli,16680,18071,18313,17925,17943,8,1736
Artvin,Þavþat,Artvin Þavþat,3954,4089,30142,30016,30031,8,1653
Aydýn,Bozdoðan,Aydýn Bozdoðan,262558,264956,266159,269656,271057,9,1206
Aydýn,Buharkent,Aydýn Buharkent,40596,39570,39957,37919,35563,9,1781
Aydýn,Didim,Aydýn Didim,111926,116407,139395,134332,123036,9,2000
Aydýn,Efeler,Aydýn Efeler,337975,341729,360475,353309,352953,9,2076
Aydýn,Germencik,Aydýn Germencik,245178,248105,258606,255378,254250,9,1348
Aydýn,Karacasu,Aydýn Karacasu,213273,209816,209319,212143,221754,9,1435
Aydýn,Karpuzlu,Aydýn Karpuzlu,137976,139137,139392,140282,140823,9,1957
Aydýn,Koçarlý,Aydýn Koçarlý,212381,239418,240988,240931,221064,9,1479
Aydýn,Kuyucak,Aydýn Kuyucak,190636,193355,191950,188721,182993,9,1498
Aydýn,Kuþadasý,Aydýn Kuþadasý,41382,41478,45409,55139,59771,9,1497
Aydýn,Köþk,Aydýn Köþk,133791,127793,129271,131444,130978,9,1968
Aydýn,Nazilli,Aydýn Nazilli,308383,307880,304796,304517,304150,9,1542
Aydýn,Sultanhisar,Aydýn Sultanhisar,143202,145320,151755,154340,154217,9,1640
Aydýn,Söke,Aydýn Söke,577662,604772,647025,656274,646309,9,1637
Aydýn,Yenipazar,Aydýn Yenipazar,99185,105539,109561,104540,105718,9,1724
Aydýn,Çine,Aydýn Çine,348448,344422,342900,344231,339306,9,1256
Aydýn,Ýncirliova,Aydýn Ýncirliova,130536,131927,133282,133703,133970,9,1807
Aðrý,Diyadin,Aðrý Diyadin,372077,367610,373564,369723,369883,4,1283
Aðrý,Doðubayazýt,Aðrý Doðubayazýt,460436,461716,457888,447401,447401,4,1287
Aðrý,Eleþkirt,Aðrý Eleþkirt,450248,448218,442347,441026,455991,4,1301
Aðrý,Hamur,Aðrý Hamur,195708,195931,193748,237753,237750,4,1379
Aðrý,Merkez,Aðrý Merkez,721686,731608,726519,709079,694087,4,1111
Aðrý,Patnos,Aðrý Patnos,628581,629209,625995,552464,539353,4,1568
Aðrý,Taþlýçay,Aðrý Taþlýçay,249125,249176,247384,237855,237855,4,1667
Aðrý,Tutak,Aðrý Tutak,454197,450970,451275,444520,444516,4,1691
Balýkesir,Altýeylül,Balýkesir Altýeylül,240585,244665,281047,281669,281664,10,2077
Siirt,Eruh,Siirt Eruh,112586,105950,99892,111077,114936,56,1317
Balýkesir,Ayvalýk,Balýkesir Ayvalýk,201060,200514,197338,199096,194494,10,1161
Balýkesir,Balya,Balýkesir Balya,81986,81497,82142,71177,68724,10,1169
Balýkesir,Bandýrma,Balýkesir Bandýrma,327523,324568,326132,329689,347384,10,1171
Balýkesir,Bigadiç,Balýkesir Bigadiç,190814,195681,200769,213671,282339,10,1191
Balýkesir,Burhaniye,Balýkesir Burhaniye,234993,225332,228238,226125,186573,10,1216
Balýkesir,Dursunbey,Balýkesir Dursunbey,236031,247482,171708,156915,155497,10,1291
Balýkesir,Edremit,Balýkesir Edremit,216978,215251,215595,214317,214317,10,1294
Balýkesir,Erdek,Balýkesir Erdek,55272,55001,55302,54506,54980,10,1310
Balýkesir,Gömeç,Balýkesir Gömeç,131708,131526,132450,132458,132423,10,1928
Balýkesir,Gönen,Balýkesir Gönen,404077,424344,407870,399800,399490,10,1360
Balýkesir,Havran,Balýkesir Havran,138089,147568,147773,147805,148018,10,1384
Balýkesir,Karesi,Balýkesir Karesi,218933,211462,198874,160883,152339,10,2078
Balýkesir,Kepsut,Balýkesir Kepsut,159906,156730,157503,157155,159559,10,1462
Balýkesir,Manyas,Balýkesir Manyas,300363,308284,308812,314940,314015,10,1514
Balýkesir,Marmara,Balýkesir Marmara,11955,12019,11520,11463,11382,10,1824
Balýkesir,Savaþtepe,Balýkesir Savaþtepe,102562,118002,164476,162562,176484,10,1608
Balýkesir,Susurluk,Balýkesir Susurluk,272778,260009,260151,261033,253234,10,1644
Balýkesir,Sýndýrgý,Balýkesir Sýndýrgý,220464,203431,203335,207062,199851,10,1619
Balýkesir,Ývrindi,Balýkesir Ývrindi,156457,147869,155151,155080,121830,10,1418
Bartýn,Amasra,Bartýn Amasra,21796,21884,21413,20754,20346,74,1761
Bartýn,Kurucaþile,Bartýn Kurucaþile,19367,19452,19402,19004,17767,74,1496
Bartýn,Merkez,Bartýn Merkez,267328,272001,286774,276677,220193,74,1172
Bartýn,Ulus,Bartýn Ulus,79146,79229,78585,72597,51637,74,1701
Batman,Beþiri,Batman Beþiri,359312,346646,347792,346759,363840,72,1184
Batman,Gercüþ,Batman Gercüþ,142431,138980,134112,119816,132635,72,1345
Batman,Hasankeyf,Batman Hasankeyf,20811,20967,21155,21699,22062,72,1941
Batman,Kozluk,Batman Kozluk,254579,246551,255508,255428,260589,72,1487
Batman,Merkez,Batman Merkez,157785,163262,166575,168676,190955,72,1174
Batman,Sason,Batman Sason,8233,8551,10077,9790,11102,72,1607
Bayburt,Aydýntepe,Bayburt Aydýntepe,68263,91955,90910,81759,80706,69,1767
Bayburt,Demirözü,Bayburt Demirözü,199801,204284,197556,235928,247077,69,1788
Bayburt,Merkez,Bayburt Merkez,703628,846819,851146,824892,817487,69,1176
Bilecik,Bozüyük,Bilecik Bozüyük,164985,180851,188027,193278,192911,11,1210
Bilecik,Gölpazarý,Bilecik Gölpazarý,95893,100617,107301,116821,122440,11,1359
Bilecik,Merkez,Bilecik Merkez,140048,138689,149815,144223,147765,11,1192
Bilecik,Osmaneli,Bilecik Osmaneli,126264,123410,123693,123416,123423,11,1559
Bilecik,Pazaryeri,Bilecik Pazaryeri,93827,94445,102110,98808,101134,11,1571
Bilecik,Söðüt,Bilecik Söðüt,85163,91328,96162,97455,96785,11,1636
Bilecik,Yenipazar,Bilecik Yenipazar,93079,89089,82739,76893,74768,11,1857
Bilecik,Ýnhisar,Bilecik Ýnhisar,19106,19680,20067,20097,19490,11,1948
Bingöl,Adaklý,Bingöl Adaklý,31879,31610,61304,137731,140570,12,1750
Bingöl,Genç,Bingöl Genç,44021,43111,40839,207003,205502,12,1344
Bingöl,Karlýova,Bingöl Karlýova,59637,59649,173986,193711,211501,12,1446
Bingöl,Kiðý,Bingöl Kiðý,6806,6805,18538,74405,74259,12,1475
Bingöl,Merkez,Bingöl Merkez,123071,119118,274280,450196,453158,12,1193
Bingöl,Solhan,Bingöl Solhan,21708,21876,76867,174551,174480,12,1633
Bingöl,Yayladere,Bingöl Yayladere,1154,1165,4493,35655,35599,12,1855
Bingöl,Yedisu,Bingöl Yedisu,11404,11569,36449,75864,76116,12,1996
Bitlis,Adilcevaz,Bitlis Adilcevaz,385313,370882,385250,380914,372590,13,1106
Bitlis,Ahlat,Bitlis Ahlat,372479,453033,450229,452611,417282,13,1112
Bitlis,Güroymak,Bitlis Güroymak,118263,119074,120085,120365,128040,13,1798
Bitlis,Hizan,Bitlis Hizan,68309,74633,81799,85482,85682,13,1394
Bitlis,Merkez,Bitlis Merkez,58226,60529,60433,61629,63453,13,1196
Bitlis,Mutki,Bitlis Mutki,90841,92430,92329,91586,93716,13,1537
Bitlis,Tatvan,Bitlis Tatvan,216522,218382,220746,228785,213767,13,1669
Bolu,Dörtdivan,Bolu Dörtdivan,91313,87850,87859,87849,87837,14,1916
Bolu,Gerede,Bolu Gerede,272186,288864,302000,302995,303362,14,1346
Bolu,Göynük,Bolu Göynük,149895,150068,151378,152475,152708,14,1364
Bolu,Kýbrýscýk,Bolu Kýbrýscýk,8506,9825,10849,10588,9546,14,1466
Bolu,Mengen,Bolu Mengen,44481,44738,15630,15635,16085,14,1522
Bolu,Merkez,Bolu Merkez,302683,304248,296786,302205,304119,14,1199
Bolu,Mudurnu,Bolu Mudurnu,155995,156632,154202,154042,154571,14,1531
Bolu,Seben,Bolu Seben,59074,53579,46399,45800,47610,14,1610
Bolu,Yeniçaða,Bolu Yeniçaða,43593,43346,42220,42489,42788,14,1997
Burdur,Altýnyayla,Burdur Altýnyayla,8519,12317,13180,13126,12732,15,1874
Burdur,Aðlasun,Burdur Aðlasun,53720,58825,56654,56688,58648,15,1109
Burdur,Bucak,Burdur Bucak,191654,197892,201836,199713,216391,15,1211
Burdur,Gölhisar,Burdur Gölhisar,162317,174350,174793,173439,175337,15,1357
Burdur,Karamanlý,Burdur Karamanlý,156982,156924,159419,161760,161863,15,1813
Burdur,Kemer,Burdur Kemer,64927,67794,70481,75115,80232,15,1816
Burdur,Merkez,Burdur Merkez,355651,375047,373947,372786,380624,15,1215
Burdur,Tefenni,Burdur Tefenni,152183,159081,161095,156355,158592,15,1672
Burdur,Yeþilova,Burdur Yeþilova,210154,232391,227404,220882,230340,15,1728
Burdur,Çavdýr,Burdur Çavdýr,103544,108611,105414,109388,110050,15,1899
Burdur,Çeltikçi,Burdur Çeltikçi,42114,44476,32561,32509,31991,15,1903
Bursa,Büyükorhan,Bursa Büyükorhan,63176,29268,29481,33261,38452,16,1783
Bursa,Gemlik,Bursa Gemlik,88034,87999,88385,88392,88765,16,1343
Bursa,Gürsu,Bursa Gürsu,44109,43501,43728,43738,43718,16,1935
Bursa,Harmancýk,Bursa Harmancýk,64893,63062,47412,46753,47068,16,1799
Bursa,Karacabey,Bursa Karacabey,633102,638028,616279,628642,617619,16,1434
Bursa,Keles,Bursa Keles,105811,104066,104376,104470,104478,16,1457
Bursa,Kestel,Bursa Kestel,85967,84364,84306,81422,82522,16,1960
Bursa,Mudanya,Bursa Mudanya,180322,192413,192366,186857,190047,16,1530
Bursa,Mustafakemalpaþa,Bursa Mustafakemalpaþa,397433,402559,505686,504979,512835,16,1535
Bursa,Nilüfer,Bursa Nilüfer,157806,154869,155377,155369,155372,16,1829
Bursa,Orhaneli,Bursa Orhaneli,89827,88885,88717,88713,88700,16,1553
Bursa,Orhangazi,Bursa Orhangazi,131911,130541,130307,129945,129721,16,1554
Bursa,Osmangazi,Bursa Osmangazi,158610,158532,158596,158591,120155,16,1832
Bursa,Yeniþehir,Bursa Yeniþehir,327992,314557,285996,285114,314401,16,1725
Bursa,Yýldýrým,Bursa Yýldýrým,12670,12666,12524,12526,12522,16,1859
Bursa,Ýnegöl,Bursa Ýnegöl,278107,291257,293134,292175,297879,16,1411
Bursa,Ýznik,Bursa Ýznik,156594,157926,159782,164727,164702,16,1420
Denizli,Acýpayam,Denizli Acýpayam,440588,441075,449494,449973,450035,20,1102
Denizli,Babadað,Denizli Babadað,30698,29751,31513,31513,32169,20,1769
Denizli,Baklan,Denizli Baklan,133435,121838,137572,140000,140000,20,1881
Denizli,Bekilli,Denizli Bekilli,121739,117347,120028,118494,118914,20,1774
Denizli,Beyaðaç,Denizli Beyaðaç,33604,31900,37741,41925,43753,20,1888
